symbol,Risk,close,company_name,website_link
A,0.021880599,58.42,Agilent Technologies Inc.,www.agilent.com
AAL,0.019563358,39.02,American Airlines Group Inc.,www.aa.com
AAP,0.026175852,126.8,"Advance Auto Parts, Inc.",www.advanceautoparts.com
AAPL,0.017880357,75.7771,Apple Inc.,www.apple.com
ABBV,0.01482636,51.46,AbbVie Inc.,www.abbvie.com
ABC,0.011502465,68.94,AmerisourceBergen Corporation,www.amerisourcebergen.com
ABT,0.010944693,39.57,Abbott Laboratories,www.abbott.com
ACN,0.011122474,83.93,Accenture plc,www.accenture.com
ADBE,0.015616884,68.52,Adobe Inc.,www.adobe.com
ADI,0.009341246,51.83,"Analog Devices, Inc.",www.analog.com
ADM,0.012883427,41.33,Archer-Daniels-Midland Company,www.adm.com
ADP,0.012125814,78.56,"Automatic Data Processing, Inc.",www.adp.com
ADS,0.02498958,287.78,Alliance Data Systems Corporation,www.alliancedata.com
ADSK,0.018029519,53.61,"Autodesk, Inc.",www.autodesk.com
AEE,0.013422922,39.89,Ameren Corporation,www.ameren.com
AEP,0.008628171,49.33,"American Electric Power Company, Inc.",www.aep.com
AES,0.014790448,14.05,The AES Corporation,www.aes.com
AET,0.014459852,73.71,Aetna Inc.,www.aetna.com
AFL,0.010766346,65.61,Aflac Incorporated,www.aflac.com
AGN,0.024377181,213.18,Allergan plc,www.allergan.com
AIG,0.01435263,51.25,"American International Group, Inc.",www.aig.com
AIV,0.011458503,30.64,Apartment Investment and Management Company,www.aimco.com
AIZ,0.011975086,67.94,"Assurant, Inc.",www.assurant.com
AJG,0.012324637,47.04,Arthur J. Gallagher & Co.,www.ajg.com
AKAM,0.041025574,61,"Akamai Technologies, Inc.",www.akamai.com
ALB,0.012328873,66.55,Albemarle Corporation,www.albemarle.com
ALGN,0.027390835,55.28,"Align Technology, Inc.",www.aligntech.com
ALK,0.020293204,44.7,"Alaska Air Group, Inc.",www.alaskaair.com
ALL,0.01588799,55.71,The Allstate Corporation,www.allstate.com
ALLE,0.018682556,53.39,Allegion plc,www.allegion.com
ALXN,0.043356957,168.05,"Alexion Pharmaceuticals, Inc.",www.alexion.com
AMAT,0.014302616,19.64,"Applied Materials, Inc.",www.appliedmaterials.com
AMD,0.020842123,3.95,"Advanced Micro Devices, Inc.",www.amd.com
AME,0.012919803,54.15,"AMETEK, Inc.",www.ametek.com
AMG,0.019841731,196.45,"Affiliated Managers Group, Inc.",www.amg.com
AMGN,0.014263255,122.26,Amgen Inc.,www.amgen.com
AMP,0.016372523,112.65,"Ameriprise Financial, Inc.",www.ameriprise.com
AMT,0.014255527,81.31,American Tower Corporation,www.americantower.com
AMZN,0.027658313,372.06,"Amazon.com, Inc.",www.amazon.com
ANDV,0.016385104,53.47,Andeavor,www.andeavor.com
ANSS,0.014260493,83.3,"ANSYS, Inc.",www.ansys.com
ANTM,0.013712258,91.53,"Anthem, Inc.",www.antheminc.com
AON,0.015874232,86.95,Aon plc,www.aon.com
AOS,0.015042518,24.56,A. O. Smith Corporation,www.aosmith.com
APA,0.013882202,80.05,Apache Corporation,www.apachecorp.com
APC,0.013344671,85.26,Anadarko Petroleum Corporation,www.anadarko.com
APD,0.015683317,121.67,"Air Products and Chemicals, Inc.",www.airproducts.com
APH,0.011185482,45.205,Amphenol Corporation,www.amphenol.com
ARE,0.00804577,72.46,"Alexandria Real Estate Equities, Inc.",www.are.com
ARNC,0.020675357,36.48,Arconic Inc.,www.arconic.com
ATVI,0.027472731,20.11,"Activision Blizzard, Inc.",www.activisionblizzard.com
AVB,0.010287007,128.22,"AvalonBay Communities, Inc.",www.avalonbay.com
AVGO,0.017562405,62.75,Broadcom Inc.,www.broadcom.com
AVY,0.0158767,51.56,Avery Dennison Corporation,www.averydennison.com
AWK,0.008659112,44.35,"American Water Works Company, Inc.",www.amwater.com
AXP,0.01323997,93.86,American Express Company,www.americanexpress.com
AYI,0.01359665,143.52,"Acuity Brands, Inc.",www.acuitybrands.com
AZO,0.015550411,541.99,"AutoZone, Inc.",www.autozone.com
BA,0.017461263,128.54,The Boeing Company,www.boeing.com
BAC,0.013933229,17.33,Bank of America Corporation,www.bankofamerica.com
BAX,0.009749527,67.5,Baxter International Inc.,www.baxter.com
BBT,0.011060416,39.18,BB&T Corporation,www.bbt.com
BBY,0.022445782,25.8,"Best Buy Co., Inc.",www.bestbuy.com
BDX,0.011133426,115.57,"Becton, Dickinson and Company",www.bd.com
BEN,0.01566847,53.81,"Franklin Resources, Inc.",www.franklinresources.com
BF.B,0.01183322,44.05,Brown-Forman Corporation,www.brown-forman.com
BIIB,0.022293371,328.75,Biogen Inc.,www.biogen.com
BK,0.013679753,33.51,The Bank of New York Mellon Corporation,www.bnymellon.com
BLK,0.017017662,310.79,"BlackRock, Inc.",www.blackrock.com
BLL,0.012451522,28.045,Ball Corporation,www.ball.com
BMY,0.020686349,55.83,Bristol-Myers Squibb Company,www.bms.com
BRK.B,0.010639284,122.67,Berkshire Hathaway Inc. (Class B),www.berkshirehathaway.com
BSX,0.015406523,13.7,Boston Scientific Corporation,www.bostonscientific.com
BWA,0.015474339,61.31,BorgWarner Inc.,www.borgwarner.com
BXP,0.009952785,110.94,"Boston Properties, Inc.",www.bostonproperties.com
C,0.01513076,49.62,Citigroup Inc.,www.citigroup.com
CA,0.011580393,32.93,"CA, Inc.",www.ca.com
CAG,0.015397203,29.47,"Conagra Brands, Inc.",www.conagrabrands.com
CAH,0.016757676,72.3,"Cardinal Health, Inc.",www.cardinalhealth.com
CAT,0.015560693,97.05,Caterpillar Inc.,www.caterpillar.com
CB,0.009770276,97.77,Chubb Limited,www.chubb.com
CBG,0.013780424,28.09,"CBRE Group, Inc.",www.cbre.com
CBOE,0.019598108,57.28,"Cboe Global Markets, Inc.",www.cboe.com
CBS,0.016961076,67.4,CBS Corporation,www.cbscorporation.com
CCI,0.013206846,74.63,Crown Castle International Corp.,www.crowncastle.com
CCL,0.017622491,39.5,Carnival Corporation & plc,www.carnivalcorp.com
CDNS,0.011145232,15.91,"Cadence Design Systems, Inc.",www.cadence.com
CELG,0.020606118,78.28,Celgene Corporation,www.celgene.com
CERN,0.020617011,60.37,Cerner Corporation,www.cerner.com
CF,0.016373617,52.218,"CF Industries Holdings, Inc.",www.cfindustries.com
CHD,0.012335858,34.21,"Church & Dwight Co., Inc.",www.churchdwight.com
CHK,0.021986706,25.85,Chesapeake Energy Corporation,www.chk.com
CHRW,0.020189581,52.27,"C.H. Robinson Worldwide, Inc.",www.chrobinson.com
CHTR,0.020357173,127,"Charter Communications, Inc.",www.charter.com
CI,0.021365692,79.05,Cigna Corporation,www.cigna.com
CINF,0.012281074,47.84,Cincinnati Financial Corporation,www.cinfin.com
CL,0.009208491,63.13,Colgate-Palmolive Company,www.colgate.com
CLX,0.00882445,86.44,The Clorox Company,www.thecloroxcompany.com
CMA,0.015237769,49.49,Comerica Incorporated,www.comerica.com
CMCSA,0.01519329,25.815,Comcast Corporation,www.comcastcorporation.com
CME,0.013405447,76.97,CME Group Inc.,www.cmegroup.com
CMG,0.025546862,593.41,"Chipotle Mexican Grill, Inc.",www.chipotle.com
CMI,0.017129016,145.62,Cummins Inc.,www.cummins.com
CMS,0.009968497,27.98,CMS Energy Corporation,www.cmsenergy.com
CNC,0.01867249,31.715,Centene Corporation,www.centene.com
CNP,0.010187145,23.19,"CenterPoint Energy, Inc.",www.centerpointenergy.com
COF,0.012128137,75.01,Capital One Financial Corporation,www.capitalone.com
COG,0.022505598,35.11,Cabot Oil & Gas Corporation,www.cabotog.com
COL,0.010381117,82.18,"Rockwell Collins, Inc.",www.rockwellcollins.com
COO,0.018744643,136.48,"The Cooper Companies, Inc.",www.coopercos.com
COP,0.009540059,66.51,ConocoPhillips,www.conocophillips.com
COST,0.011584072,113.5,Costco Wholesale Corporation,www.costco.com
COTY,0.022698565,15.62,Coty Inc.,www.coty.com
CPB,0.013552766,43.91,Campbell Soup Company,www.campbellsoupcompany.com
CRM,0.024898845,60.74,"salesforce.com, inc.",www.salesforce.com
CSCO,0.010669108,21.73,"Cisco Systems, Inc.",www.cisco.com
CSX,0.013557831,28.87,CSX Corporation,www.csx.com
CTAS,0.01439821,61.37,Cintas Corporation,www.cintas.com
CTL,0.012064079,31.32,"CenturyLink, Inc.",www.centurylink.com
CTSH,0.015986927,53.61,Cognizant Technology Solutions Corporation,www.cognizant.com
CTXS,0.022363712,60.99,"Citrix Systems, Inc.",www.citrix.com
CVS,0.010816709,73.48,CVS Health Corporation,www.cvshealth.com
CVX,0.01169623,115.08,Chevron Corporation,www.chevron.com
CXO,0.017573373,121.6,Concho Resources Inc.,www.concho.com
D,0.010620952,68.44,"Dominion Energy, Inc.",www.dominionenergy.com
DAL,0.022322315,35.36,"Delta Air Lines, Inc.",www.delta.com
DE,0.009629305,88.8,Deere & Company,www.deere.com
DFS,0.015042422,59.28,Discover Financial Services,www.discover.com
DG,0.010281943,59.39,Dollar General Corporation,www.dollargeneral.com
DGX,0.010173188,52.58,Quest Diagnostics Incorporated,www.questdiagnostics.com
DHI,0.025211728,23.47,"D.R. Horton, Inc.",www.drhorton.com
DHR,0.011699967,77.43,Danaher Corporation,www.danaher.com
DIS,0.017426212,82.21,The Walt Disney Company,www.thewaltdisneycompany.com
DISCA,0.015914848,85.52,"Discovery, Inc.",www.corporate.discovery.com
DISCK,0.014812294,79.3,"Discovery, Inc. (Class C)",www.corporate.discovery.com
DISH,0.014339239,62.31,DISH Network Corporation,www.dish.com
DLR,0.016257987,52.36,"Digital Realty Trust, Inc.",www.digitalrealty.com
DLTR,0.012873869,54.33,"Dollar Tree, Inc.",www.dollartree.com
DOV,0.034239014,82.27,Dover Corporation,www.dovercorporation.com
DPS,0.010140516,52.29,"Dr Pepper Snapple Group, Inc.",www.drpeppersnapplegroup.com
DRE,0.015368237,16.54,Duke Realty Corporation,www.dukerealty.com
DRI,0.0178587,49.95,"Darden Restaurants, Inc.",www.darden.com
DTE,0.009756943,70.33,DTE Energy Company,www.dteenergy.com
DUK,0.005867258,70.06,Duke Energy Corporation,www.duke-energy.com
DVA,0.011498822,68.78,DaVita Inc.,www.davita.com
DVN,0.01209902,65.13,Devon Energy Corporation,www.devonenergy.com
EA,0.013678228,29.38,Electronic Arts Inc.,www.ea.com
EBAY,0.012881372,59.06,eBay Inc.,www.ebay.com
ECL,0.009965453,109.84,Ecolab Inc.,www.ecolab.com
ED,0.007592233,55.44,"Consolidated Edison, Inc.",www.coned.com
EFX,0.014024218,70.76,Equifax Inc.,www.equifax.com
EIX,0.00816899,51.42,Edison International,www.edison.com
EL,0.014974583,70.02,The Est?e Lauder Companies Inc.,www.elcompanies.com
EMN,0.011701846,87.54,Eastman Chemical Company,www.eastman.com
EMR,0.011178138,65.6,Emerson Electric Co.,www.emerson.com
EOG,0.016008082,94.96,"EOG Resources, Inc.",www.eogresources.com
EQIX,0.012514708,193.44,"Equinix, Inc.",www.equinix.com
EQR,0.007758622,58.25,Equity Residential,www.equityapartments.com
EQT,0.014207239,100.65,EQT Corporation,www.eqt.com
ES,0.008047789,43.75,Eversource Energy,www.eversource.com
ESRX,0.011599358,78.3,Express Scripts Holding Company,www.express-scripts.com
ESS,0.009897692,168.11,"Essex Property Trust, Inc.",www.essex.com
ETFC,0.021917805,23.5,E*TRADE Financial Corporation,www.etrade.com
ETN,0.014952893,76.15,Eaton Corporation,www.eaton.com
ETR,0.009172516,62.56,Entergy Corporation,www.entergy.com
EW,0.013466346,36.035,Edwards Lifesciences Corporation,www.edwards.com
EXC,0.009979788,29.82,Exelon Corporation,www.exeloncorp.com
EXPD,0.016585313,39.82,"Expeditors International of Washington, Inc.",www.expeditors.com
EXPE,0.029071884,75.19,"Expedia Group, Inc.",www.expediagroup.com
EXR,0.011818895,48.23,Extra Space Storage Inc.,www.extraspace.com
F,0.013419023,15.62,Ford Motor Company,www.ford.com
FAST,0.016161274,49.05,Fastenal Company,www.fastenal.com
FB,0.033087064,69.8,"Meta Platforms, Inc.",www.meta.com
FBHS,0.023113799,46.58,"Fortune Brands Home & Security, Inc.",www.fbhs.com
FCX,0.018495248,32.19,Freeport-McMoRan Inc.,www.fcx.com
FDX,0.014905417,137.43,FedEx Corporation,www.fedex.com
FE,0.011694676,30.67,FirstEnergy Corp.,www.firstenergycorp.com
FFIV,0.017441194,114.78,"F5 Networks, Inc.",www.f5.com
FIS,0.017470204,55.47,"Fidelity National Information Services, Inc.",www.fisglobal.com
FISV,0.012497203,58.78,"Fiserv, Inc.",www.fiserv.com
FITB,0.01044783,22.63,Fifth Third Bancorp,www.53.com
FL,0.021853966,46.49,"Foot Locker, Inc.",www.footlocker-inc.com
FLIR,0.020108302,35.18,"FLIR Systems, Inc.",www.flir.com
FLR,0.01547252,79.69,Fluor Corporation,www.fluor.com
FLS,0.01935803,80.81,Flowserve Corporation,www.flowserve.com
FMC,0.013410733,77.87,FMC Corporation,www.fmc.com
FOX,0.012479644,33.14,Fox Corporation,www.foxcorporation.com
FOXA,0.014382734,33.91,Fox Corporation (Class A),www.foxcorporation.com
FRT,0.010135036,110.23,Federal Realty Investment Trust,www.federalrealty.com
FTI,0.014313976,53.27,TechnipFMC plc,www.technipfmc.com
GD,0.014943236,111.49,General Dynamics Corporation,www.gd.com
GE,0.013138766,26.13,General Electric Company,www.ge.com
